,type,start,end,text,label,name
90,text,13942,13949,Spanish,LANGUAGE,Yordani
91,text,14414,14419,Lizzy,PERSON,Yordani
92,text,14505,14512,Yordani,PERSON,Yordani
93,text,14625,14630,Lizzy,PERSON,Yordani
94,text,14713,14720,Yordani,PERSON,Yordani
95,text,14758,14764,a year,DATE,Yordani
96,text,14811,14820,two years,DATE,Yordani
97,text,15016,15021,Lizzy,PERSON,Yordani
98,text,15080,15087,Yordani,PERSON,Yordani
99,text,15171,15176,Lizzy,PERSON,Yordani
100,text,15234,15241,Yordani,PERSON,Yordani
101,text,15267,15273,Mexico,GPE,Yordani
102,text,15343,15350,Nayarit,GPE,Yordani
103,text,15396,15401,Lizzy,PERSON,Yordani
104,text,15446,15453,Yordani,PERSON,Yordani
105,text,15485,15490,Lizzy,PERSON,Yordani
106,text,15528,15535,Yordani,PERSON,Yordani
107,text,15553,15579,"three, four, like 12 hours",TIME,Yordani
108,text,15667,15672,Lizzy,PERSON,Yordani
109,text,15715,15722,Mexican,NORP,Yordani
110,text,15840,15847,Yordani,PERSON,Yordani
111,text,16094,16099,Lizzy,PERSON,Yordani
112,text,16151,16158,Yordani,PERSON,Yordani
113,text,16195,16198,one,CARDINAL,Yordani
114,text,16213,16218,Lizzy,PERSON,Yordani
115,text,16304,16311,Yordani,PERSON,Yordani
116,text,16687,16692,Lizzy,PERSON,Yordani
117,text,16759,16766,Yordani,PERSON,Yordani
118,text,16808,16813,Lizzy,PERSON,Yordani
119,text,16828,16835,Yordani,PERSON,Yordani
120,text,16896,16901,Lizzy,PERSON,Yordani
121,text,16962,16966,U.S.,GPE,Yordani
122,text,16993,16997,U.S.,GPE,Yordani
123,text,17123,17130,Yordani,PERSON,Yordani
124,text,17186,17191,Lizzy,PERSON,Yordani
125,text,17291,17295,U.S.,GPE,Yordani
126,text,17340,17346,Mexico,GPE,Yordani
127,text,17423,17430,Yordani,PERSON,Yordani
128,text,17596,17602,Mexico,GPE,Yordani
129,text,17690,17697,Yordani,PERSON,Yordani
130,text,17864,17869,Lizzy,PERSON,Yordani
131,text,17941,17948,Yordani,PERSON,Yordani
132,text,17963,17968,Lizzy,PERSON,Yordani
133,text,18004,18011,Mexican,NORP,Yordani
134,text,18020,18028,American,NORP,Yordani
135,text,18037,18044,Yordani,PERSON,Yordani
136,text,18088,18095,Mexican,NORP,Yordani
137,text,18212,18219,Mexican,NORP,Yordani
138,text,18260,18268,American,NORP,Yordani
139,text,18277,18293,Mexican American,NORP,Yordani
140,text,18370,18375,Lizzy,PERSON,Yordani
141,text,18406,18411,50/50,CARDINAL,Yordani
142,text,18423,18430,Yordani,PERSON,Yordani
143,text,18432,18437,50/50,CARDINAL,Yordani
144,text,18452,18457,Lizzy,PERSON,Yordani
145,text,18465,18468,50%,PERCENT,Yordani
146,text,18498,18506,American,NORP,Yordani
147,text,18527,18534,Yordani,PERSON,Yordani
148,text,18583,18590,Mexican,NORP,Yordani
149,text,18640,18649,Americans,NORP,Yordani
150,text,18842,18848,Mexico,GPE,Yordani
151,text,19145,19152,Mexican,NORP,Yordani
152,text,19258,19263,Lizzy,PERSON,Yordani
153,text,19310,19317,Yordani,PERSON,Yordani
154,text,19422,19427,Lizzy,PERSON,Yordani
155,text,19461,19468,Yordani,PERSON,Yordani
156,text,19520,19532,Christianity,NORP,Yordani
157,text,19596,19604,Catholic,NORP,Yordani
158,text,19633,19638,Lizzy,PERSON,Yordani
159,text,19686,19693,Yordani,PERSON,Yordani
160,text,19744,19749,Lizzy,PERSON,Yordani
161,text,19812,19819,Yordani,PERSON,Yordani
162,text,19919,19927,American,NORP,Yordani
163,text,20043,20051,American,NORP,Yordani
164,text,20140,20147,Mexican,NORP,Yordani
165,text,20268,20275,Mexican,NORP,Yordani
166,text,20293,20300,Mexican,NORP,Yordani
167,text,20351,20356,Lizzy,PERSON,Yordani
168,text,20494,20501,Yordani,PERSON,Yordani
169,text,20589,20594,Lizzy,PERSON,Yordani
170,text,20626,20633,Yordani,PERSON,Yordani
171,text,20794,20801,Mexican,NORP,Yordani
172,text,20940,20946,Mexico,GPE,Yordani
173,text,21076,21081,Lizzy,PERSON,Yordani
174,text,21115,21122,Yordani,PERSON,Yordani
175,text,21156,21161,Lizzy,PERSON,Yordani
176,text,21211,21218,Yordani,PERSON,Yordani
177,text,21268,21273,Lizzy,PERSON,Yordani
178,text,21529,21536,Yordani,PERSON,Yordani
179,text,21904,21911,Yordani,PERSON,Yordani
180,text,22283,22288,Lizzy,PERSON,Yordani
181,text,22303,22310,Yordani,PERSON,Yordani
182,text,22449,22454,Lizzy,PERSON,Yordani
183,text,22503,22506,one,CARDINAL,Yordani
184,text,22656,22663,Yordani,PERSON,Yordani
185,text,23054,23061,Yordani,PERSON,Yordani
186,text,23112,23119,English,LANGUAGE,Yordani
187,text,23280,23287,Mexican,NORP,Yordani
188,text,23385,23390,Lizzy,PERSON,Yordani
189,text,23473,23480,Yordani,PERSON,Yordani
190,text,536,1049,"Yordani: Well, I guess I was in school and I started doing substance abuse
   and I guess I got depressed. It's like I wasn't really trying at school. My
   friends were working all the time. I guess nobody like, could supervise me.
   Yeah, I had bad influences. I hung out with the wrong crowd and I guess I
   had no purpose for going to school. I said, ""Why am I even going to
   school?"" I didn't even know. I didn't even like see a reason, a good reason
   to go. So it's like it didn't matter to me.
 
 
  ","Time in the US, Drugs, Taking, Addiction",Yordani
191,text,19812,20350,"Yordani: I mean I had some friends who were like, ""Sometimes I've been
   discriminated."" Like, ""Oh you're American"" tu vienes de alla because they
   know that I come from over there. Like, ""Nah, you're from over there,
   you're American, you can't be a part of this"", or something like that. So
   yeah, then I'm , ""Nah, I'm Mexican too. I was born here. Yeah, I lived over
   there, but I was born here."" So it's like, yeah they don't see me as too
   Mexican. I see myself as Mexican. It's because of that I said not too much.
 
 
  ",Time in the US,Yordani
192,text,16304,16686,"Yordani: I mean, I came and yeah they had to ask me for like get my
   transcript. I mean the school did give me my transcripts. Other people here
   have trouble with that, they won't get their transcript unless they were
   there in person. I mean, I guess I was lucky that I got those. I guess I
   didn't really struggle too much with that, but I see how other people do.
 
 
  ","Return to Mexico, Continuing education, Records/Transcripts/Diploma",Yordani
193,text,22656,23053,"Yordani: Well, yeah. Yeah, definitely becoming a good software developer.
   Just establishing myself as good. I mean, I don't want to be the best. I
   want to be up there. I don't want to be the best. Like I want to set goals
   for myself, I want to accomplish them. And yeah, maybe if getting a visa
   doesn't work out, like my parents get deported, I'll be there to support my
   mom.
 
 
  ","Reflections, Dreams",Yordani
194,text,21904,22282,"Yordani: I mean that was my reason for coming over here. I felt so trapped
   in the game. I was like, ""If I just go over there, I'm going to be forced
   to not play video games. I'm going to be forced to reintegrate into society
   and just change, you know? Like, just coming back here is going to change
   me."" And it did, I guess it worked, I saved myself, I guess.
 
 
  ","Time in the US, Lack of mental health resources",Yordani
195,text,21529,21903,"Yordani: Let's see... Well, I really feel like this was all my fault. I
   hung out with the wrong crowd. I mean part of it was my status, but mostly
   it was my life decisions, you know? I hung out with the wrong crowd. I
   guess I didn't really have guidance. I ended up in a position where I
   didn't like being there. I guess I found the solution was to leave.
 
 
  ","Reflections, Values, Time in the US, Friends",Yordani
196,text,20626,21075,"Yordani: Yeah. I mean now I feel like more part of here now that I have
   spent more time here, so I'm getting used to it here. I guess I'm seeing
   myself more as a Mexican citizen now. I'd still like to go there though, I
   still want to... I don't know. I guess I was a citizen, I wish I was a
   citizen of Mexico and the United States. That'd be fucking awesome. I live
   here and then over there, it's like... Yeah, that'd be sweet.
 
 
  ","Reflections, Identity, Mexican, American, Bi-cultural",Yordani
197,text,19310,19632,"Yordani: Yeah, definitely. Like the type of music I listen to, sometimes my
   ideas are very different.
 
 
   Lizzy: Like what kind of ideas?
 
 
   Yordani: I guess like my religion, I guess I was born into Christianity,
   and here it's like Catholicism, so it's like, my family is Catholic. It's
   like, ""Oy.""
 
 
  ","Return to Mexico, Cultural differences",Yordani
198,text,18527,19257,"Yordani: I guess just the culture, I guess. Yeah, I had Mexican parents,
   but it's like I interacted more with Americans, so it's like... I guess,
   the music. Yeah, the music, I guess. Yeah, not too sure. The lifestyle, I'm
   used to having more money, and the style too like... here I guess. Well,
   here in Mexico, it's more varied, but where I'm from, el rancho , they
   dress a certain way. They have their own style. I don't really follow that.
   You know, like they dress in their hats and stuff like that and like I
   don't really do that. Like the music too, I don't really feel like I really
   like Mexican music. It's like I'm forcing myself to do it because I want to
   fit in, but in the end I don't.
 
 
  ","Reflections, Identity, Mexican",Yordani
199,text,18037,18369,"Yordani: Well, I have no clue. I guess I feel more Mexican because I know
   that I was born here. I knew that I was not born over there. So it's like,
   I guess I feel more Mexican, but at the same time I feel sort of
   American-ish and Mexican American-ish. I don't know. I don't know, I don't
   know, I guess it's both.
 
 
  ","Reflections, Identity, Mexican, American, Bi-cultural",Yordani
200,text,16896,17185,"Lizzy: Mm-hmm (affirmative). Yeah, that's huge. What about in the U.S.?
   What do you think the U.S. government could be doing differently in how
   they treat or how they support migrants, migrant families like yours?
 
 
   Yordani: I really don't really know how to answer that.
 
 
  ","Reflections, The United States, US government and immigration",Yordani
201,text,14713,15015,"Yordani: Yeah, at first like, ""I'm free."" By a year I was like, ""I'm good.""
   And then it's like two years, it's like, ""Okay, well, when am I going to
   see them?"" I'm like, ""This is..."" Yeah, I guess you start feeling it. It
   took me awhile. I was like, ""Dang, am I ever going to see them?""
 
 
  ","Return to Mexico, Family Relationships, Those who stayed in the US",Yordani
202,text,13899,14413,"Yordani: Well... I guess learning to speak Spanish better. Just feeling
   more free, like I can go wherever I want. Police aren't going to be looking
   at me, I don't have to worry about them. Whoa... Now with police are
   assholes sometimes, I guess everywhere they're that way. They're like that
   everywhere, right? But just that fear of like, ""I don't know what's going
   to happen. They're just going to send me away"", and stuff like, ""I don't
   know what's going to happen."" I guess that's gone.
 
 
  ","Return to Mexico, Challenges, Language, Spanish",Yordani
203,text,13512,13805,"Yordani: Yeah, at first, yeah because I wasn't used to it. Sometimes I
   would say words in English, they'd just come out of me, and it's like, ""Oh
   dude, I didn't realize."" You know? And they'd just be like, ""What?"" And
   just, yeah, I guess learning all these new words, you know?
 
 
  ","Return to Mexico, Challenges, Cultural differences, Language",Yordani
204,text,12858,13436,"Yordani: Like here people talk to each other with like jokes and stuff all
   the time, Mexicans, all the time. And sometimes you're left out because you
   don't understand what... It's like puns or something like that. They say
   something, but it means something else, and there's a lot of that. It's
   like you say one thing and then it's not... it doesn't mean that, it means
   something else. And so, you've got to like kind of learn to decipher that.
   It was really hard at first, I would always be out of the loop like, ""Wh-
   What?"", because that was hard.
 
 
  ","Return to Mexico, Challenges, Cultural differences",Yordani
205,text,12403,12818,"Yordani: I guess just knowing what to do. I guess just first accepting the
   fact that I was just going to work in the field and I had nowhere else to
   go. Just like life was harder there... Just learning how to interact with
   people here, because they have a different way of communicating. It's like,
   you've got to communicate the way they do, otherwise you're like, I don't
   know, like, outcast.
 
 
  ","Return to Mexico, Challenges, Economic well-being, Mental Health",Yordani
206,text,11134,11354,"Lizzy: And then you mention in the survey about, when we were talking about
   whether you feel safe in Mexico, and you said that at least you don't have
   the fear of the authorities that you have in the States.
 
 
  ","Return to Mexico, Challenges, Crime and Violence",Yordani
207,text,10710,10985,"Yordani: Nope, in high school. Around high school, like 9th, 10th grade. I
   guess that's what sent me down to depression because it was like 9th grade,
   you transition from middle school to 9th, it's a big change and then you
   find out this. And obviously, yeah.
 
 
  ","Time in the US, School, High school",Yordani
208,text,10152,10526,"Yordani: Anytime I had an encounter with the police, it just like... Oh, I
   have to say like red and white or something. I'd just really just feel very
   panicked inside. And it didn't help that sometimes I guess they'd tell my
   mom you know like, ""Hey, immigration's around, don't open the door, if
   somebody knocks check who it is."" It's like dang, you know?
 
 
  ","Time in the US, Immigration status, Hiding/lying",Yordani
209,text,9649,10104,"Yordani: And so, when that happened, the police, they talked with me and my
   mom, they were like, ""Hey, we know you're illegal. You know? We're not
   going to report you to immigration. We just want a clean community, we just
   don't want any problems."" But still, it's like now they know. It's like,
   they know. Next time I do something, it's going to be, I guess, I'm just
   going to get kicked out or something. So it just created a fear.
 
 
  ","Time in the US, Immigration status, Living undocumented, Learning status",Yordani
210,text,9066,9648,"Yordani: No, I’ve only one friend. I guess the feedback that he gave me,
   it's like I guess I didn't want to tell anybody. I felt really like...
   Yeah, I guess just ashamed for it. And then just scared, the police,
   they're going to ask me if I'm legal or not. And it became even more scary
   when I was in high school, middle school, and I was with the bad crowd and
   we bought some cans and spray painted this church. And the church was
   really nice. They didn't put charges and when we were cleaning they took us
   to eat. They were just really nice, you know?
 
 
  ","Time in the US, Immigration status, Hiding/lying",Yordani
211,text,8547,9004,"Yordani: Yeah. It's like when I became aware of it, I told my friend and my
   friend was like, ""You should get a -- your green card, you know?"" And I
   guess ever since then I felt like... just judged, you know, like I felt
   afraid that somebody would find out. I was scared, you know? There was
   other people like me that... they wouldn't care, they'd share it, and I'd
   be like, ""Why? You know... Why?"" So it was really embarrassing for me.
 
 
  ","Time in the US, Immigration status, Living undocumented",Yordani
212,text,7512,8357,"Yordani: I mean, it was only that one day, and actually the church paid for
   it because I would go to this church. And yeah, I guess a little silly
   thing happened, my pastor came... My mom called the pastor because I wasn't
   listening to the doctor. I guess I was unconscious or something, and the
   doctor was giving me instructions because they wanted to remove the tube,
   and I had to sit up or something. I was sedated and they would remove the
   sedative and I'd wake up and they would ask me to do things, I wouldn't
   listen. So they called the pastor and I actually listened to him. The
   doctor would ask me to do something, I'd be like, ""No, I'm laughing here.""
   I'd be like, ""No."" And the pastor came and I was like, ""All right, I did
   it."" So they found out about it and they were nice enough to pay for that.
 
 
  ","Time in the US, Illness, Healthcare",Yordani
213,text,7204,7350,"Lizzy: If you don't mind me asking, you didn't have papers at this time,
   right? Did you have health insurance, some kind of health care?
 
 
  ","Time in the US, Healthcare, Time in the US, Immigration status, Living undocumented",Yordani
214,text,6161,7203,"Yordani: So 911 came and they checked me, my pulse was getting slower. I
   guess they injected something to wake me up, it wasn't working. I guess
   they decided to take me to a hospital. They took me to the hospital and I
   guess they didn't have the tools to help with that, to help with the
   overdose, so they transported me to another place. And there, they had to
   put a tube down my throat and remove the liquid, and they put me to sleep.
 
 
   Yordani: I remember having dreams, I felt like it was a dream and I was
   fighting to get out of this bed, like trying to fight out of this hospital
   bed really hard. And just little moments where I had consciousness and I
   remember little parts, and yeah, I just remember fighting really hard just
   to get out. I felt really strong and unstoppable. And I guess one of the
   reasons is, I guess, the Vikings before going to battle would take this
   mushroom and they'd feel enraged and empowered. So I guess I was too then,
   right? And yeah, so yeah, that happened.
 
 
  ","Time in the US, Drugs, Taking, Time in the US, Illness, Healthcare",Yordani
215,text,3684,4086,"Yordani: You had to look at the texture, the color, and the feel of it, the
   size, everything. And I found it and it's like, well I feel like this is
   it, but there's many look-alikes and I don't want to die. I found this
   other mushroom, it was really colorful and this one was super easy to
   identify, and I read up on it and it said it had properties that would get
   rid of anxiety.
 
 
  ","Time in the US, Drugs, Taking",Yordani
216,text,3032,3516,"Yordani: And I read it online that you shouldn't do it on your own. You
   know? I was really like, that was the first, was... to do it on my own. You
   might just kill yourself, you know? So I did that, I went on research and I
   waited for the perfect time like when the rain comes. I went looking and
   stuff, I knew it was really dangerous, I was scared. At one point I found,
   outside, a mushroom that I thought was it, but I was just so scared to do
   it, you know?
 
 
  ","Time in the US, Drugs, Taking",Yordani
217,text,2697,3011,"Yordani: I guess I'll talk about how I was trying to... I thought I had
   really bad anxiety, and I was finding a way to cure it. And I researched,
   it's all like, ""Oh, you got to expose yourself and do this."" And then
   there's these mushrooms, I guess, that will help you, like psychedelic
   therapy.
 
 
  ","Time in the US, Drugs, Taking, Addiction",Yordani
218,text,2033,2696,"Yordani: And the other... We moved away from town, where I would hang out
   with all my friends and yeah, so I just isolated myself with some games. I
   spent like five, like three, seven, four, five, six, seven years just doing
   that. I got really bad, I guess my social skills got really bad, just lost
   all my friends. Got new friends online that weren't really friends. I
   didn't even know who they were. And yeah, I was just in a really bad state
   of mind, you know? I hated going outside, it was so... I guess I didn't
   know where to get help. I guess I had a computer, so I'd be on the computer
   and I'd just research a bunch of stuff.
 
 
  ","Time in the US, Homelife, Being alone",Yordani
219,text,1478,2032,"Yordani: Uh-huh (affirmative). Uh-huh (affirmative). You'd get less
   credits, you had to earn less credits to graduate. And there I guess, it's
   more about crowds, so it's like I had even less reason to really graduate
   and I ended up just dropping out like when I was 18. And from there I guess
   I got addicted to video games, like really addicted to video games. I
   guess... I don't know, to escape, I feel like I had my reason, I guess that
   was my reason to get good at that game, because that was my reason for
   living, I guess.
 
 
  ","Time in the US, School, Struggling, Suspension, Dropping out",Yordani
220,text,1050,1429,"Yordani: So I went to 9th, 10th, 11th, 12th grade, not really learning. I
   just got past, you know? And at the end, in 12th grade, the vice principal
   called me, he's like, ""Hey, you're not going to graduate here, you should
   go to this school."" And they sent me to that school and that school was
   like, it was full of people like me that didn't really care and -
 
 
  ","Time in the US, School, High school, Lack of mental health resources, Struggling, Suspension, Dropping out",Yordani
221,text,536,1049,"Yordani: Well, I guess I was in school and I started doing substance abuse
   and I guess I got depressed. It's like I wasn't really trying at school. My
   friends were working all the time. I guess nobody like, could supervise me.
   Yeah, I had bad influences. I hung out with the wrong crowd and I guess I
   had no purpose for going to school. I said, ""Why am I even going to
   school?"" I didn't even know. I didn't even like see a reason, a good reason
   to go. So it's like it didn't matter to me.
 
 
  ","Feelings, Despair",Yordani
222,text,4,11,Claudia,PERSON,Daniel B
223,text,13,18,First,ORDINAL,Daniel B
224,text,26,31,first,ORDINAL,Daniel B
225,text,41,48,Claudia,PERSON,Daniel B
226,text,71,79,Danielel,PERSON,Daniel B
227,text,647,653,Daniel,PERSON,Daniel B
228,text,679,686,Claudia,PERSON,Daniel B
229,text,779,809,"about three, four years
   ago",DATE,Daniel B
230,text,1164,1170,States,GPE,Daniel B
231,text,1198,1205,the 90s,DATE,Daniel B
232,text,1207,1214,the 90s,DATE,Daniel B
233,text,1230,1247,the toughest year,DATE,Daniel B
234,text,1252,1272,"the United
   States",GPE,Daniel B
235,text,1316,1322,Daniel,PERSON,Daniel B
236,text,1352,1360,Illinois,GPE,Daniel B
237,text,1549,1552,one,CARDINAL,Daniel B
238,text,2093,2099,Daniel,PERSON,Daniel B
239,text,2155,2161,Mexico,GPE,Daniel B
240,text,2180,2186,Mexico,GPE,Daniel B
241,text,2194,2197,two,CARDINAL,Daniel B
242,text,2217,2224,Georgia,GPE,Daniel B
243,text,2236,2238,18,DATE,Daniel B
244,text,2261,2263,18,DATE,Daniel B
245,text,2295,2298,two,CARDINAL,Daniel B
246,text,2302,2307,three,CARDINAL,Daniel B
247,text,2335,2337,18,DATE,Daniel B
248,text,2500,2502,18,DATE,Daniel B
249,text,2511,2518,Claudia,PERSON,Daniel B
250,text,2556,2562,Daniel,PERSON,Daniel B
251,text,2578,2584,Mexico,GPE,Daniel B
252,text,2619,2625,Mexico,GPE,Daniel B
253,text,2668,2674,Daniel,PERSON,Daniel B
254,text,2844,2861,the United States,GPE,Daniel B
255,text,2872,2882,six months,DATE,Daniel B
256,text,3004,3006,US,GPE,Daniel B
257,text,3079,3081,US,GPE,Daniel B
258,text,3387,3393,Daniel,PERSON,Daniel B
259,text,3469,3475,a year,DATE,Daniel B
260,text,3527,3533,States,GPE,Daniel B
261,text,3570,3574,four,CARDINAL,Daniel B
262,text,3595,3598,one,CARDINAL,Daniel B
263,text,3606,3610,four,CARDINAL,Daniel B
264,text,3630,3650,one or two years old,DATE,Daniel B
265,text,3699,3711,"seven, eight",DATE,Daniel B
266,text,3766,3780,your first day,DATE,Daniel B
267,text,3789,3795,Daniel,PERSON,Daniel B
268,text,3857,3863,States,GPE,Daniel B
269,text,3879,3884,first,ORDINAL,Daniel B
270,text,3918,3923,first,ORDINAL,Daniel B
271,text,3960,3965,seven,DATE,Daniel B
272,text,3969,3974,eight,DATE,Daniel B
273,text,4273,4279,Daniel,PERSON,Daniel B
274,text,4855,4858,One,CARDINAL,Daniel B
275,text,4968,4974,Daniel,PERSON,Daniel B
276,text,5070,5078,Hispanic,NORP,Daniel B
277,text,5152,5160,Mexicans,NORP,Daniel B
278,text,5166,5174,Mexicans,NORP,Daniel B
279,text,5207,5215,Mexicans,NORP,Daniel B
280,text,5531,5537,Daniel,PERSON,Daniel B
281,text,5543,5548,first,ORDINAL,Daniel B
282,text,5667,5669,13,DATE,Daniel B
283,text,6032,6034,13,DATE,Daniel B
284,text,6209,6215,Daniel,PERSON,Daniel B
285,text,6448,6450,20,CARDINAL,Daniel B
286,text,6465,6469,half,CARDINAL,Daniel B
287,text,6535,6538,one,CARDINAL,Daniel B
288,text,6852,6858,Daniel,PERSON,Daniel B
289,text,6875,6881,Daniel,PERSON,Daniel B
290,text,6914,6920,Johnny,PERSON,Daniel B
291,text,6936,6942,Johnny,PERSON,Daniel B
292,text,6951,6957,Daniel,PERSON,Daniel B
293,text,6981,6987,Johnny,PERSON,Daniel B
294,text,7253,7259,Daniel,PERSON,Daniel B
295,text,7596,7602,Daniel,PERSON,Daniel B
296,text,8322,8328,Daniel,PERSON,Daniel B
297,text,8599,8605,Daniel,PERSON,Daniel B
298,text,9057,9063,Daniel,PERSON,Daniel B
299,text,9308,9310,20,CARDINAL,Daniel B
300,text,9668,9672,Dofo,PERSON,Daniel B
301,text,9821,9827,Daniel,PERSON,Daniel B
302,text,9983,9993,one second,TIME,Daniel B
303,text,10029,10036,one sec,TIME,Daniel B
304,text,10119,10125,Daniel,PERSON,Daniel B
305,text,10211,10217,Daniel,PERSON,Daniel B
306,text,10263,10269,Daniel,PERSON,Daniel B
307,text,10286,10292,Daniel,PERSON,Daniel B
308,text,10488,10494,Daniel,PERSON,Daniel B
309,text,10552,10557,first,ORDINAL,Daniel B
310,text,10707,10715,Next day,DATE,Daniel B
311,text,10785,10791,Daniel,PERSON,Daniel B
312,text,11211,11217,Mexico,GPE,Daniel B
313,text,11226,11232,Daniel,PERSON,Daniel B
314,text,11414,11420,Mexico,GPE,Daniel B
315,text,12003,12009,Daniel,PERSON,Daniel B
316,text,12025,12031,Mexico,GPE,Daniel B
317,text,12047,12055,Teletech,GPE,Daniel B
318,text,12091,12099,Teletech,ORG,Daniel B
319,text,12147,12155,Teletech,ORG,Daniel B
320,text,12371,12379,Teletech,GPE,Daniel B
321,text,12408,12416,Teletech,GPE,Daniel B
322,text,12475,12483,Teletech,GPE,Daniel B
323,text,12586,12592,Mexico,GPE,Daniel B
324,text,12607,12613,Mexico,GPE,Daniel B
325,text,12626,12634,Mexicans,NORP,Daniel B
326,text,12737,12743,Mexico,GPE,Daniel B
327,text,12787,12793,Daniel,PERSON,Daniel B
328,text,12917,12927,five years,DATE,Daniel B
329,text,12967,12973,Mexico,GPE,Daniel B
330,text,13005,13008,two,CARDINAL,Daniel B
331,text,13023,13026,One,CARDINAL,Daniel B
332,text,13433,13439,Daniel,PERSON,Daniel B
333,text,13773,13781,Teletech,PERSON,Daniel B
334,text,13786,13798,about a year,DATE,Daniel B
335,text,13946,13954,Teletech,ORG,Daniel B
336,text,14128,14140,about a year,DATE,Daniel B
337,text,14197,14203,Daniel,PERSON,Daniel B
338,text,14463,14469,Daniel,PERSON,Daniel B
